title,descriptiom,link,image
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpf
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
5 עצות לחדשן הצבאי המתחיל,הרכיב הכי חשוב בהאקתון מוצל...,storyFolder/fiveTips.html,pics\storyImg.jpg
